ExperimentID,Protein.AF,FAME.Lipids.AF,Carbohydrates.AF,ExperimentID,StrainID_x,SourceID,BatchID,Duration.days,DateTime,TreatmentID,time.between.harvests.days,Harvest.,Harvest.Vol..L.,AFDW..g.L.,AFDW..g.,Depth.cm,Evaporation.Rate.cm.day,pH_x,Salinity,Temp.C,NO3.mg.L,NO3.PCT.RSD,P.mg.L,P.PCT.RSD,N.P.ratio,Tracking.ID,DW.g.L,DW.RSD,AFDW.g.L,AFDW.RSD,Ash,OD750,OD750.PCT.RSD,NO3.utilized.g,NO3.demand.g.N.g.AFDW,NH4.utilized.g,P.demand.g.P.g.AFDW,SiteID2,PondID,StrainID_y,pH_y,Temp.avg (C),Temp.max (C),Temp.min (C),Cond (mS.cm),DO (mg.L),DO (%sat),Sal (g.L),PAR (umol.m2.s),SiteID,Date,AirTemp(C),RH(%),GlobalLightEnergy(W.m2),WindSpeed(km.hr),WDir(deg),Precip.tot(cm)
OCT172013,43.86,10.77,6.26,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,2013-10-24,,,,,,,24.13,0.96,8.34,,12.2,,,,,,2.0,,,,,,0.59,0.12,,,,,ASU,P1,KA32,8.47,17.02,21.9,11.9,52297.48,7.01,89.55,34.46,0.0,ASU,2013-10-24,22.79,24.9,186.99,4.56,198.29,0.0
OCT172013,43.07,13.09,8.18,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,2013-11-04,replete-8.5,17.72916667,1.0,922.5,0.45333333299999995,418.2,22.86,0.72,8.56,,10.8,12.97,4.39,0.02,141.42,1174.31,4.0,0.5,2.75,0.45,1.27,10.11,2.05,1.01,0.0,0.008,0.0,0.008,ASU,P1,KA32,8.38,16.2,28.3,9.3,30871.3,7.06,81.92,20.18,,ASU,2013-11-04,18.92,37.88,176.55,6.42,194.43,0.18
OCT172013,43.35,11.17,6.44,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,2013-10-24,,,,,,,24.13,0.96,8.63,,12.3,,,,,,5.0,,,,,,0.62,0.12,,,,,ASU,P2,KA32,8.49,,,,47942.37,7.93,94.29,31.21,,ASU,2013-10-24,22.79,24.9,186.99,4.56,198.29,0.0
OCT172013,44.66,13.77,7.81,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,2013-11-04,replete-8.5,17.72916667,1.0,922.5,0.48111111100000004,443.825,22.54,0.6,8.48,,11.1,13.73,7.37,0.03,141.42,1194.87,7.0,0.56,1.18,0.48,1.06,14.59,2.23,1.55,0.0,0.006999999999999999,0.0,0.002,ASU,P2,KA32,8.29,,,,30884.32,6.1,69.89,20.12,,ASU,2013-11-04,18.92,37.88,176.55,6.42,194.43,0.18
OCT172013,43.27,13.52,5.92,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,2013-10-24,,,,,,,24.13,0.96,8.66,,12.6,,,,,,8.0,,,,,,0.59,0.12,,,,,ASU,P3,KA32,8.5,16.92,21.9,11.7,51376.83,8.8,111.64,33.77,,ASU,2013-10-24,22.79,24.9,186.99,4.56,198.29,0.0
OCT172013,44.38,14.34,8.15,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,2013-11-04,replete-8.5,17.72916667,1.0,922.5,0.48111111100000004,443.825,22.86,0.69,8.45,,10.7,13.13,15.83,0.0,,,10.0,0.59,2.66,0.48,0.4,18.57,2.2,2.15,0.0,,0.0,0.002,ASU,P3,KA32,8.37,15.38,27.0,9.1,30298.23,12.26,139.26,19.76,,ASU,2013-11-04,18.92,37.88,176.55,6.42,194.43,0.18
OCT172013,44.78,15.0,5.88,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,2013-10-24,,,,,,,24.13,0.96,8.18,,12.8,,,,,,11.0,,,,,,0.62,0.0,,,,,ASU,P4,KA32,7.85,17.17,22.1,11.9,52839.89,8.58,110.5,34.86,,ASU,2013-10-24,22.79,24.9,186.99,4.56,198.29,0.0
OCT172013,43.09,14.11,8.18,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,2013-11-04,replete-7.8,17.72916667,1.0,922.5,0.49777777799999995,459.2,22.86,0.69,8.41,,11.1,11.53,6.73,0.0,,,13.0,0.55,1.27,0.5,1.69,9.13,2.23,0.52,0.0,0.047,0.0,0.003,ASU,P4,KA32,7.92,15.48,25.9,9.3,32236.99,8.24,95.91,21.13,,ASU,2013-11-04,18.92,37.88,176.55,6.42,194.43,0.18
OCT172013,45.8,14.21,6.4,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,2013-10-24,,,,,,,24.13,0.96,8.24,,12.3,,,,,,14.0,,,,,,0.63,0.34,,,,,ASU,P5,KA32,7.89,16.92,21.8,11.7,52020.02,5.73,72.95,34.24,,ASU,2013-10-24,22.79,24.9,186.99,4.56,198.29,0.0
OCT172013,44.22,14.07,8.6,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,2013-11-04,replete-7.8,17.72916667,1.0,922.5,0.495555556,457.15,22.86,0.69,8.35,,10.6,8.49,2.72,0.0,,,16.0,0.53,1.67,0.5,1.03,5.9,2.16,0.93,0.0,0.061,0.0,0.0,ASU,P5,KA32,7.89,14.9,20.1,9.2,51836.46,4.25,51.64,34.06,,ASU,2013-11-04,18.92,37.88,176.55,6.42,194.43,0.18
OCT172013,44.36,13.29,5.79,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,2013-10-24,,,,,,,24.13,0.96,8.05,,13.1,,,,,,17.0,,,,,,0.62,0.12,,,,,ASU,P6,KA32,7.87,,,,53141.53,5.97,78.38,35.09,0.0,ASU,2013-10-24,22.79,24.9,186.99,4.56,198.29,0.0
OCT172013,44.34,13.34,7.21,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,2013-11-04,replete-7.8,17.72916667,1.0,922.5,0.44888888899999996,414.1,22.86,0.69,8.45,,13.3,9.18,4.25,0.02,141.42,958.48,19.0,0.52,4.35,0.45,1.55,13.79,2.04,0.75,0.0,0.138,0.0,0.002,ASU,P6,KA32,7.7,,,,31118.81,4.5,53.35,20.32,0.0,ASU,2013-11-04,18.92,37.88,176.55,6.42,194.43,0.18
OCT172013,41.98,14.73,6.66,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,25.73,2013-11-12,,,,,,,24.13,0.17,8.13,,12.6,36.27,6.92,3.17,0.22,25.37,21.0,0.24,1.8,0.22,1.11,6.24,0.87,0.23,,0.151,,0.012,ASU,P1,KA32,7.98,16.64,21.4,12.1,53241.34,7.84,99.9,35.16,,ASU,2013-11-12,23.04,29.55,155.98,5.08,117.72,0.0
OCT172013,41.76,16.78,7.04,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,25.73,2013-11-12,,,,,,,24.45,0.09,8.19,,12.6,35.0,2.23,3.26,0.0,23.77,22.0,0.23,2.23,0.22,0.0,4.61,0.87,0.13,,0.15,,0.011000000000000001,ASU,P2,KA32,7.97,,,,52620.78,6.43,81.45,34.7,,ASU,2013-11-12,23.04,29.55,155.98,5.08,117.72,0.0
OCT172013,41.85,14.58,7.01,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,25.73,2013-11-12,,,,,,,24.13,0.17,8.12,,12.6,36.07,3.25,3.12,0.0,25.6,23.0,0.25,5.54,0.23,1.67,7.58,0.89,0.39,,0.075,,0.012,ASU,P3,KA32,7.99,16.55,21.4,11.9,52875.53,12.49,158.28,34.88,,ASU,2013-11-12,23.04,29.55,155.98,5.08,117.72,0.0
OCT172013,41.5,17.94,6.55,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,25.73,2013-11-12,,,,,,,24.89,,7.65,,12.3,10.0,3.95,0.22,9.94,100.45,24.0,0.24,1.19,0.2,9.64,16.16,0.89,0.79,,0.045,,0.016,ASU,P4,KA32,7.25,16.62,21.5,12.1,53273.07,20.4,171.88,35.18,,ASU,2013-11-12,23.04,29.55,155.98,5.08,117.72,0.0
OCT172013,42.34,16.31,6.88,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,25.73,2013-11-12,,,,,,,23.81,0.26,8.31,,12.7,11.5,9.8,0.42,1.35,60.92,25.0,0.24,0.0,0.22,0.0,9.28,0.85,0.59,,0.07,,0.016,ASU,P5,KA32,7.89,16.65,21.5,12.0,54329.79,8.15,104.2,35.96,,ASU,2013-11-12,23.04,29.55,155.98,5.08,117.72,0.0
OCT172013,42.06,15.39,6.26,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,25.73,2013-11-12,,,,,,,23.5,0.35,8.37,,13.2,9.89,7.25,0.26,0.27,83.43,26.0,0.24,1.6,0.22,1.31,7.33,0.89,4.17,,0.126,,0.013999999999999999,ASU,P6,KA32,7.87,,,,53732.22,5.12,67.52,35.53,452.05,ASU,2013-11-12,23.04,29.55,155.98,5.08,117.72,0.0
OCT172013,42.43,14.55,8.07,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,31.74,2013-11-18,,,,,,,23.81,0.36,8.49,,12.1,26.23,5.55,1.11,1.27,52.33,27.0,0.38,0.38,0.35,0.42,7.76,1.6,0.36,,0.071,,0.012,ASU,P1,KA32,7.99,15.69,20.3,11.0,53222.86,7.76,96.91,35.11,,ASU,2013-11-18,18.05,50.8,156.23,2.41,199.11,0.0
OCT172013,40.47,16.44,8.03,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,31.74,2013-11-18,,,,,,,23.12,0.49,7.78,,12.1,0.17,166.21,0.05,1.86,7.6,30.0,0.38,1.51,0.36,1.86,7.39,1.6,0.36,,0.057999999999999996,,0.0,ASU,P4,KA32,7.27,15.66,20.4,10.9,55288.16,6.28,52.19,36.64,,ASU,2013-11-18,18.05,50.8,156.23,2.41,199.11,0.0
OCT172013,43.51,17.23,8.06,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,33.73,2013-11-20,,,,,,,24.45,0.46,8.35,,12.4,22.77,4.86,0.52,1.22,96.48,33.0,0.42,0.69,0.39,0.99,7.2,1.83,0.31,,0.086,,0.015,ASU,P1,KA32,7.99,15.33,18.8,12.2,52562.64,7.78,96.29,34.64,,ASU,2013-11-20,18.25,49.11,120.96,3.71,187.94,0.0
OCT172013,43.37,17.47,8.11,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,33.73,2013-11-20,,,,,,,24.45,0.46,7.81,,12.6,22.37,4.74,0.41,0.0,121.09,34.0,0.41,0.93,0.38,0.66,7.5,1.78,0.49,,0.10300000000000001,,0.02,ASU,P2,KA32,7.96,,,,52045.88,6.34,78.19,34.26,,ASU,2013-11-20,18.25,49.11,120.96,3.71,187.94,0.0
OCT172013,43.15,17.3,8.26,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,33.73,2013-11-20,,,,,,,24.13,0.93,8.1,,12.4,20.23,3.02,0.66,0.64,67.37,35.0,0.42,2.14,0.39,2.67,7.65,1.83,0.48,,0.111,,0.008,ASU,P3,KA32,8.03,15.19,18.8,11.9,51932.8,11.22,138.03,34.17,,ASU,2013-11-20,18.25,49.11,120.96,3.71,187.94,0.0
OCT172013,37.11,21.82,9.94,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,33.73,2013-11-20,,,,,,,24.45,0.46,7.73,,12.7,0.36,23.33,0.06,0.72,13.62,36.0,0.4,1.89,0.37,2.03,6.92,1.69,0.2,,,,,ASU,P4,KA32,7.29,15.47,20.8,12.2,52586.71,16.61,149.8,34.7,,ASU,2013-11-20,18.25,49.11,120.96,3.71,187.94,0.0
OCT172013,39.81,18.93,9.17,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,33.73,2013-11-20,,,,,,,24.13,0.93,8.34,,12.3,0.15,129.44,0.05,0.0,7.42,37.0,0.43,0.89,0.38,0.38,10.68,1.82,0.65,,0.013000000000000001,,0.0,ASU,P5,KA32,7.85,15.28,18.8,12.1,53232.48,7.77,96.09,35.13,,ASU,2013-11-20,18.25,49.11,120.96,3.71,187.94,0.0
OCT172013,38.35,19.74,9.68,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,33.73,2013-11-20,,,,,,,24.45,0.46,8.31,,12.8,0.1,145.44,0.04,0.96,5.08,38.0,0.45,4.53,0.37,4.79,18.37,1.73,0.5,,0.004,,0.0,ASU,P6,KA32,7.89,,,,50452.09,4.72,61.02,33.12,355.03,ASU,2013-11-20,18.25,49.11,120.96,3.71,187.94,0.0
OCT172013,43.74,14.89,7.58,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,35.73,2013-11-22,,,,,,,28.89,,8.38,,13.4,17.57,5.7,0.17,0.43,235.03,39.0,0.39,1.35,0.36,0.7,7.34,1.66,1.23,,,,,ASU,P1,KA32,8.0,13.44,15.0,11.6,45330.73,7.83,89.98,29.35,,ASU,2013-11-22,12.88,95.9,35.35,6.06,193.11,5.11
OCT172013,44.05,17.87,7.71,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,38.72,2013-11-25,,,,,,,30.48,,8.66,,6.6,14.03,1.79,0.04,0.37,813.45,45.0,0.37,1.17,0.34,1.26,7.43,1.69,0.99,,,,,ASU,P1,KA32,7.98,10.24,14.0,6.5,42286.87,8.96,94.8,27.02,,ASU,2013-11-25,10.56,74.1,158.7,1.17,183.79,0.0
OCT172013,43.2,16.2,7.92,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,38.72,2013-11-25,,,,,,,30.48,,8.56,,6.6,14.4,5.93,0.04,0.64,721.4,46.0,0.38,1.76,0.35,1.49,6.89,1.68,0.61,,,,,ASU,P2,KA32,7.96,,,,42156.44,7.25,76.61,26.92,,ASU,2013-11-25,10.56,74.1,158.7,1.17,183.79,0.0
OCT172013,43.53,18.0,8.58,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,38.72,2013-11-25,,,,,,,30.48,,8.21,,6.6,14.27,5.17,0.04,1.28,815.24,47.0,0.39,2.07,0.36,0.8,7.26,1.72,0.9,,,,,ASU,P3,KA32,8.01,10.07,13.9,6.2,42123.22,9.0,95.09,26.89,,ASU,2013-11-25,10.56,74.1,158.7,1.17,183.79,0.0
OCT172013,32.22,26.63,10.85,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,38.72,2013-11-25,,,,,,,30.48,,7.87,,6.6,0.56,20.53,0.04,1.93,33.98,48.0,0.35,2.32,0.33,1.16,5.04,1.44,0.27,,,,,ASU,P4,KA32,7.18,10.17,14.0,6.4,42979.28,6.88,72.88,27.49,,ASU,2013-11-25,10.56,74.1,158.7,1.17,183.79,0.0
OCT172013,34.63,20.94,9.9,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,38.72,2013-11-25,,,,,,,30.48,,8.56,,6.6,0.61,11.78,0.02,141.42,75.62,49.0,0.42,4.66,0.35,1.8,16.12,1.56,0.43,,,,,ASU,P5,KA32,7.73,10.2,14.0,6.4,43100.33,8.52,90.3,27.59,,ASU,2013-11-25,10.56,74.1,158.7,1.17,183.79,0.0
