,Protein.AF,FAME.Lipids.AF,Carbohydrates.AF,ExperimentID,StrainID,SourceID,BatchID,Duration.days,PondID,DateTime,TreatmentID,time.between.harvests.days,Harvest.,Harvest.Vol..L.,AFDW..g.L.,AFDW..g.,Depth.cm,Evaporation.Rate.cm.day,pH,Salinity,Temp.C,NO3.mg.L,NO3.PCT.RSD,P.mg.L,P.PCT.RSD,N.P.ratio,Tracking.ID,DW.g.L,DW.RSD,AFDW.g.L,AFDW.RSD,Ash,OD750,OD750.PCT.RSD,NO3.demand.g.N.g.AFDW,NH4.demand.g.N.g.AFDW,P.demand.g.P.g.AFDW,SiteID2,Temp.avg (C),Temp.max (C),Temp.min (C),Cond (mS.cm),DO (mg.L),DO (%sat),Sal (g.L),PAR (umol.m2.s)
1,43.07,13.09,8.18,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,P1,2013-11-04,replete-8.5,17.72916667,1.0,922.5,0.45333333299999995,418.2,22.86,0.72,8.56,,10.8,12.97,4.39,0.02,141.42,1174.31,4.0,0.5,2.75,0.45,1.27,10.11,2.05,1.01,0.008,,0.008,ASU,26.17,32.1,22.9,41861.76,3.78,54.67,27.13,303.42
4,44.66,13.77,7.81,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,P2,2013-11-04,replete-8.5,17.72916667,1.0,922.5,0.48111111100000004,443.825,22.54,0.6,8.48,,11.1,13.73,7.37,0.03,141.42,1194.87,7.0,0.56,1.18,0.48,1.06,14.59,2.23,1.55,0.006999999999999999,,0.002,ASU,,,,48525.95,7.95,89.7,31.51,
5,44.66,13.77,7.81,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,P2,2013-11-04,replete-8.5,17.72916667,1.0,922.5,0.48111111100000004,443.825,22.54,0.6,8.48,,11.1,13.73,7.37,0.03,141.42,1194.87,7.0,0.56,1.18,0.48,1.06,14.59,2.23,1.55,0.006999999999999999,,0.002,ASU,,,,47342.09,7.84,93.75,30.78,
6,44.66,13.77,7.81,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,P2,2013-11-04,replete-8.5,17.72916667,1.0,922.5,0.48111111100000004,443.825,22.54,0.6,8.48,,11.1,13.73,7.37,0.03,141.42,1194.87,7.0,0.56,1.18,0.48,1.06,14.59,2.23,1.55,0.006999999999999999,,0.002,ASU,,,,46116.31,6.78,82.8,29.92,
7,44.66,13.77,7.81,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,P2,2013-11-04,replete-8.5,17.72916667,1.0,922.5,0.48111111100000004,443.825,22.54,0.6,8.48,,11.1,13.73,7.37,0.03,141.42,1194.87,7.0,0.56,1.18,0.48,1.06,14.59,2.23,1.55,0.006999999999999999,,0.002,ASU,,,,43431.46,6.7,80.23,28.03,
8,43.2,13.5,10.07,JUN112014,KA32,KA32_06132014,KA32_06132014_Pond,39.7,P2,2014-07-23,"1x, 0.11",7.0,5.0,1025.0,0.37022222200000005,379.4777778,24.5,0.3,8.48,34.1,16.5,28.59,17.06,1.13,0.02,56.19,707.0,0.42,1.02,0.37,0.21,12.24,1.82,0.44,0.21899999999999997,,0.018000000000000002,CP,,,,48525.95,7.95,89.7,31.51,
9,43.2,13.5,10.07,JUN112014,KA32,KA32_06132014,KA32_06132014_Pond,39.7,P2,2014-07-23,"1x, 0.11",7.0,5.0,1025.0,0.37022222200000005,379.4777778,24.5,0.3,8.48,34.1,16.5,28.59,17.06,1.13,0.02,56.19,707.0,0.42,1.02,0.37,0.21,12.24,1.82,0.44,0.21899999999999997,,0.018000000000000002,CP,,,,47342.09,7.84,93.75,30.78,
10,43.2,13.5,10.07,JUN112014,KA32,KA32_06132014,KA32_06132014_Pond,39.7,P2,2014-07-23,"1x, 0.11",7.0,5.0,1025.0,0.37022222200000005,379.4777778,24.5,0.3,8.48,34.1,16.5,28.59,17.06,1.13,0.02,56.19,707.0,0.42,1.02,0.37,0.21,12.24,1.82,0.44,0.21899999999999997,,0.018000000000000002,CP,,,,46116.31,6.78,82.8,29.92,
11,43.2,13.5,10.07,JUN112014,KA32,KA32_06132014,KA32_06132014_Pond,39.7,P2,2014-07-23,"1x, 0.11",7.0,5.0,1025.0,0.37022222200000005,379.4777778,24.5,0.3,8.48,34.1,16.5,28.59,17.06,1.13,0.02,56.19,707.0,0.42,1.02,0.37,0.21,12.24,1.82,0.44,0.21899999999999997,,0.018000000000000002,CP,,,,43431.46,6.7,80.23,28.03,
17,44.38,14.34,8.15,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,P3,2013-11-04,replete-8.5,17.72916667,1.0,922.5,0.48111111100000004,443.825,22.86,0.69,8.45,,10.7,13.13,15.83,0.0,,,10.0,0.59,2.66,0.48,0.4,18.57,2.2,2.15,,,0.002,ASU,,,,46306.1,9.49,120.52,30.11,
18,50.64,15.5,7.84,APR032014,KA32,KA32_03212014_CRW,KA32_04032014_SPW,19.66,P3,2014-04-23,"1x, 0.11",7.010416667,2.0,768.75,0.37222222200000005,286.1458333,23.25,0.39,8.45,25.0,12.9,51.0,8.0,3.08,0.0,36.63,397.0,0.4,0.97,0.37,1.37,6.41,1.58,0.8,0.11199999999999999,,0.040999999999999995,ASU,,,,46306.1,9.49,120.52,30.11,
22,43.22,12.57,3.85,SEP102014,KA32,KA32_08272014_CRW,KA32_09102014_SPW,15.84,P4,2014-09-26,"3x, 0.214",2.0,3.0,512.5,0.265,135.8125,24.25,0.41,8.18,28.2,23.7,82.97,1.67,5.65,0.08,12.25,753.0,0.26,2.92,0.26,4.99,-1.37,1.07,0.71,0.156,,0.04,ASU,22.72,27.65,18.75,54906.75,8.31,120.19,36.4,
151,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,,,,52484.25,7.3,112.86,34.51,
152,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,,,,49124.14,7.58,117.13,32.04,
153,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,,,,52743.07,7.23,113.83,34.68,
154,38.39,12.41,6.97,APR032014,KA32,KA32_04152014_R0,KA32-04152014_AP,16.74,P4,2014-05-02,"3x, 0.11",2.0,4.0,256.25,0.29279569899999996,75.02889785,24.5,,7.94,35.1,22.6,47.87,0.22,6.16,0.01,17.21,358.0,0.29,3.4,0.29,1.52,-1.01,0.83,0.22,0.086,,0.013999999999999999,CELL,,,,50920.39,6.8,98.56,33.42,
