"SiteID","ExperimentID","StrainID","SourceID","BatchID","Date","PondID","TreatmentID","Harvest#","time (d)","Harvest Vol (L)","AFDW (g/L)","AFDW (g)","crash"
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","04-16-2014 06:59","P1","1x, 0.11",1,12.6458333333285,768.75,0.523333333333333,402.3125,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","04-23-2014 07:15","P1","1x, 0.11",2,19.65625,768.75,0.363333333333333,279.3125,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","04-30-2014 07:30","P1","1x, 0.11",3,26.6666666666642,768.75,0.37,284.4375,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","05-07-2014 07:15","P1","1x, 0.11",4,33.65625,768.75,0.453333333333333,348.5,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","05-14-2014 07:44","P1","1x, 0.11",5,40.6770833333285,871.25,0.425555555555556,370.765277777778,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","05-21-2014 07:30","P1","1x, 0.11",6,47.6666666666642,871.25,0.481666666666667,419.652083333334,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","05-28-2014 07:30","P1","1x, 0.11",7,54.6666666666642,1025,0.4275,438.1875,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","04-16-2014 06:59","P2","3x, 0.11",1,12.6458333333285,512.5,0.493333333333334,252.833333333333,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","04-18-2014 07:30","P2","3x, 0.11",2,14.6666666666642,256.25,0.314166666666667,80.5052083333333,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","04-21-2014 07:15","P2","3x, 0.11",3,17.65625,256.25,0.338888888888889,86.8402777777778,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","04-23-2014 07:15","P2","3x, 0.11",4,19.65625,256.25,0.317777777777778,81.4305555555555,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","04-25-2014 07:15","P2","3x, 0.11",5,21.65625,256.25,0.341111111111111,87.4097222222222,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","04-28-2014 07:15","P2","3x, 0.11",6,24.65625,256.25,0.366666666666666,93.9583333333333,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","04-30-2014 07:30","P2","3x, 0.11",7,26.6666666666642,256.25,0.355555555555555,91.1111111111111,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","05-02-2014 07:15","P2","3x, 0.11",8,28.65625,256.25,0.337777777777778,86.5555555555556,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","05-05-2014 07:30","P2","3x, 0.11",9,31.6666666666642,256.25,0.415,106.34375,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","05-07-2014 07:15","P2","3x, 0.11",10,33.65625,256.25,0.4,102.5,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","05-09-2014 07:15","P2","3x, 0.11",11,35.65625,256.25,0.372222222222222,95.3819444444444,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","05-12-2014 07:30","P2","3x, 0.11",12,38.6666666666642,256.25,0.414444444444445,106.201388888889,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","05-14-2014 07:44","P2","3x, 0.11",13,40.6770833333285,440.75,0.4,176.3,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","05-16-2014 07:30","P2","3x, 0.11",14,42.6666666666642,410,0.333333333333333,136.666666666667,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","05-19-2014 07:30","P2","3x, 0.11",15,45.6666666666642,410,0.377777777777777,154.888888888889,""
"ASU","APR032014","KA32","KA32_03212014_CRW","KA32_04032014_SPW","05-21-2014 07:30","P2","3x, 0.11",16,47.6666666666642,440.75,0.35,154.2625,""
