Tracking.ID,Analytical.Sample.ID,DATETIME,Protein.AF,FAME.Lipids.AF,Carbohydrates.AF,ExperimentID,SiteID,StrainID,SourceID,BatchID,Duration.days,PondID,time.between.harvests.days,Harvest.,Harvest.Vol..L.,AFDW..g.L.,AFDW..g.,Duration.days2,Depth.cm,Evaporation.Rate.cm.day,pH,Salinity,Temp.C,NO3.mg.L,NO3.PCT.RSD,NH4.mg.L,NH4.PCT.RSD,P.mg.L,P.PCT.RSD,N.P.ratio,Tracking.ID3,DW.g.L,DW.RSD,AFDW.g.L,AFDW.RSD,Ash,OD750,OD750.PCT.RSD,NO3.demand.g.N.g.AFDW,P.demand.g.P.g.AFDW
1,ASU_P1_131017_1,10/17/2013 14:29,26.36,23.76,16.35,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,0,inoc,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,55.93,NA,NA,NA,9.12,NA,13.58,1,1.95,4.14,1.85,17.34,5.3,6.61,0.66,NA,NA
2,ASU_P1_102413_1,10/24/2013 8:00,43.86,10.77,6.26,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,P1,NA,NA,NA,NA,NA,6.73,24.13,0.96,8.34,NA,12.2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.59,0.12,NA,NA
3,ASU_P1_103013_1,10/30/2013 8:15,44.32,NA,8.45,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,12.74,P1,NA,NA,NA,NA,NA,12.74,24.13,0.46,8.71,NA,9.6,23.6,3.06,NA,NA,1.06,0.66,49.07,3,0.34,1.48,0.33,0.59,5.47,1.4,0.55,0.151,NA
4,ASU_P1_110413_1,11/4/2013 8:00,43.07,13.09,8.18,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,P1,17.72916667,1,922.5,0.453333333,418.2,17.73,22.86,0.72,8.56,NA,10.8,12.97,4.39,NA,NA,0.02,141.42,1174.31,4,0.5,2.75,0.45,1.27,10.11,2.05,1.01,0.008,0.008
5,ASU_P2_102413_1,10/24/2013 8:00,43.35,11.17,6.44,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,P2,NA,NA,NA,NA,NA,6.73,24.13,0.96,8.63,NA,12.3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0.62,0.12,NA,NA
6,ASU_P2_103013_1,10/30/2013 8:15,43.4,NA,7.65,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,12.74,P2,NA,NA,NA,NA,NA,12.74,24.13,0.46,8.74,NA,9.3,22.4,1.18,NA,NA,0.48,0.44,103.44,6,0.35,0.54,0.34,0.57,4.7,1.47,2.14,0.147,0.003
7,ASU_P2_110413_1,11/4/2013 8:00,44.66,13.77,7.81,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,P2,17.72916667,1,922.5,0.481111111,443.825,17.73,22.54,0.6,8.48,NA,11.1,13.73,7.37,NA,NA,0.03,141.42,1194.87,7,0.56,1.18,0.48,1.06,14.59,2.23,1.55,0.007,0.002
8,ASU_P3_102413_1,10/24/2013 8:00,43.27,13.52,5.92,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,P3,NA,NA,NA,NA,NA,6.73,24.13,0.96,8.66,NA,12.6,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0.59,0.12,NA,NA
9,ASU_P3_103013_1,10/30/2013 8:15,45.19,NA,7.79,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,12.74,P3,NA,NA,NA,NA,NA,12.74,24.13,0.46,8.79,NA,9.3,22.43,3.6,NA,NA,0.28,0,176.78,9,0.36,2.32,0.34,0.97,4.89,1.44,0.27,0.106,0.011
10,ASU_P3_110413_1,11/4/2013 8:00,44.38,14.34,8.15,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,P3,17.72916667,1,922.5,0.481111111,443.825,17.73,22.86,0.69,8.45,NA,10.7,13.13,15.83,NA,NA,0,NA,NA,10,0.59,2.66,0.48,0.4,18.57,2.2,2.15,NA,0.002
