Tracking.ID,Analytical.Sample.ID,DATETIME,Protein.AF,FAME.Lipids.AF,Carbohydrates.AF,ExperimentID,SiteID,StrainID,SourceID,BatchID,Duration.days,PondID,time.between.harvests.days,Harvest.,Harvest.Vol..L.,AFDW..g.L.,AFDW..g.,Duration.days2,Depth.cm,Evaporation.Rate.cm.day,pH,Salinity,Temp.C,NO3.mg.L,NO3.PCT.RSD,NH4.mg.L,NH4.PCT.RSD,P.mg.L,P.PCT.RSD,N.P.ratio,Tracking.ID3,DW.g.L,DW.RSD,AFDW.g.L,AFDW.RSD,Ash,OD750,OD750.PCT.RSD,NO3.demand.g.N.g.AFDW,P.demand.g.P.g.AFDW
2,ASU_P1_102413_1,10/24/2013 8:00,43.86,10.77,6.26,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,P1,NA,NA,NA,NA,NA,6.73,24.13,0.96,8.34,NA,12.2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.59,0.12,NA,NA
3,ASU_P1_103013_1,10/30/2013 8:15,44.32,NA,8.45,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,12.74,P1,NA,NA,NA,NA,NA,12.74,24.13,0.46,8.71,NA,9.6,23.6,3.06,NA,NA,1.06,0.66,49.07,3,0.34,1.48,0.33,0.59,5.47,1.4,0.55,0.151,NA
4,ASU_P1_110413_1,11/4/2013 8:00,43.07,13.09,8.18,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,P1,17.72916667,1,922.5,0.453333333,418.2,17.73,22.86,0.72,8.56,NA,10.8,12.97,4.39,NA,NA,0.02,141.42,1174.31,4,0.5,2.75,0.45,1.27,10.11,2.05,1.01,0.008,0.008
5,ASU_P2_102413_1,10/24/2013 8:00,43.35,11.17,6.44,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,P2,NA,NA,NA,NA,NA,6.73,24.13,0.96,8.63,NA,12.3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0.62,0.12,NA,NA
6,ASU_P2_103013_1,10/30/2013 8:15,43.4,NA,7.65,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,12.74,P2,NA,NA,NA,NA,NA,12.74,24.13,0.46,8.74,NA,9.3,22.4,1.18,NA,NA,0.48,0.44,103.44,6,0.35,0.54,0.34,0.57,4.7,1.47,2.14,0.147,0.003
7,ASU_P2_110413_1,11/4/2013 8:00,44.66,13.77,7.81,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,P2,17.72916667,1,922.5,0.481111111,443.825,17.73,22.54,0.6,8.48,NA,11.1,13.73,7.37,NA,NA,0.03,141.42,1194.87,7,0.56,1.18,0.48,1.06,14.59,2.23,1.55,0.007,0.002
8,ASU_P3_102413_1,10/24/2013 8:00,43.27,13.52,5.92,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,P3,NA,NA,NA,NA,NA,6.73,24.13,0.96,8.66,NA,12.6,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0.59,0.12,NA,NA
9,ASU_P3_103013_1,10/30/2013 8:15,45.19,NA,7.79,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,12.74,P3,NA,NA,NA,NA,NA,12.74,24.13,0.46,8.79,NA,9.3,22.43,3.6,NA,NA,0.28,0,176.78,9,0.36,2.32,0.34,0.97,4.89,1.44,0.27,0.106,0.011
10,ASU_P3_110413_1,11/4/2013 8:00,44.38,14.34,8.15,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,P3,17.72916667,1,922.5,0.481111111,443.825,17.73,22.86,0.69,8.45,NA,10.7,13.13,15.83,NA,NA,0,NA,NA,10,0.59,2.66,0.48,0.4,18.57,2.2,2.15,NA,0.002
11,ASU_P4_102413_1,10/24/2013 8:00,44.78,15,5.88,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,P4,NA,NA,NA,NA,NA,6.73,24.13,0.96,8.18,NA,12.8,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,0.62,0,NA,NA
12,ASU_P4_103013_1,10/30/2013 8:15,44.85,NA,8.22,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,12.74,P4,NA,NA,NA,NA,NA,12.74,24.13,0.46,7.94,NA,9.6,21.9,1.37,NA,NA,1.01,0.7,47.78,12,0.38,1.34,0.36,0.54,5.27,1.54,0.25,0.082,0.016
13,ASU_P4_110413_1,11/4/2013 8:00,43.09,14.11,8.18,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,P4,17.72916667,1,922.5,0.497777778,459.2,17.73,22.86,0.69,8.41,NA,11.1,11.53,6.73,NA,NA,0,NA,NA,13,0.55,1.27,0.5,1.69,9.13,2.23,0.52,0.047,0.003
14,ASU_P5_102413_1,10/24/2013 8:00,45.8,14.21,6.4,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,P5,NA,NA,NA,NA,NA,6.73,24.13,0.96,8.24,NA,12.3,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,0.63,0.34,NA,NA
15,ASU_P5_103013_1,10/30/2013 8:15,45.72,NA,8.64,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,12.74,P5,NA,NA,NA,NA,NA,12.74,24.45,0.46,8.4,NA,9.2,19,2.79,NA,NA,0.69,0.31,61.28,15,0.39,2.46,0.36,1.07,8.21,1.52,3.72,0.086,0.016
16,ASU_P5_110413_1,11/4/2013 8:00,44.22,14.07,8.6,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,P5,17.72916667,1,922.5,0.495555556,457.15,17.73,22.86,0.69,8.35,NA,10.6,8.49,2.72,NA,NA,0,NA,NA,16,0.53,1.67,0.5,1.03,5.9,2.16,0.93,0.061,0
17,ASU_P6_102413_1,10/24/2013 8:00,44.36,13.29,5.79,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,P6,NA,NA,NA,NA,NA,6.73,24.13,0.96,8.05,NA,13.1,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,0.62,0.12,NA,NA
18,ASU_P6_103013_1,10/30/2013 8:15,44.23,NA,8.07,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,12.74,P6,NA,NA,NA,NA,NA,12.74,24.45,0.46,8.35,NA,9.4,20.57,5.84,NA,NA,0.75,0.47,60.76,18,0.39,1,0.37,1.57,4.9,1.54,0.5,0.083,0.013
19,ASU_P6_110413_1,11/4/2013 8:00,44.34,13.34,7.21,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,P6,17.72916667,1,922.5,0.448888889,414.1,17.73,22.86,0.69,8.45,NA,13.3,9.18,4.25,NA,NA,0.02,141.42,958.48,19,0.52,4.35,0.45,1.55,13.79,2.04,0.75,0.138,0.002
21,ASU_P1_111213_1,11/12/2013 8:00,41.98,14.73,6.66,OCT172013,ASU,KA32,KA32_10042013_CRE,KA32_10172013_SPW,25.73,P1,NA,NA,NA,NA,NA,25.73,24.13,0.17,8.13,NA,12.6,36.27,6.92,NA,NA,3.17,0.22,25.37,21,0.24,1.8,0.22,1.11,6.24,0.87,0.23,0.151,0.012
