"Tracking.ID","Analytical.Sample.ID","DATETIME","Protein.AF","FAME.Lipids.AF","Carbohydrates.AF","ExperimentID","SiteID","StrainID","SourceID","BatchID","Duration.days","PondID"
1,"ASU_P1_131017_1","10/17/2013 14:29",26.36,23.76,16.35,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",0,"inoc"
2,"ASU_P1_102413_1","10/24/2013 8:00",43.86,10.77,6.26,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",6.73,"P1"
3,"ASU_P1_103013_1","10/30/2013 8:15",44.32,NA,8.45,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",12.74,"P1"
4,"ASU_P1_110413_1","11/4/2013 8:00",43.07,13.09,8.18,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",17.73,"P1"
5,"ASU_P2_102413_1","10/24/2013 8:00",43.35,11.17,6.44,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",6.73,"P2"
6,"ASU_P2_103013_1","10/30/2013 8:15",43.4,NA,7.65,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",12.74,"P2"
7,"ASU_P2_110413_1","11/4/2013 8:00",44.66,13.77,7.81,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",17.73,"P2"
8,"ASU_P3_102413_1","10/24/2013 8:00",43.27,13.52,5.92,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",6.73,"P3"
9,"ASU_P3_103013_1","10/30/2013 8:15",45.19,NA,7.79,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",12.74,"P3"
10,"ASU_P3_110413_1","11/4/2013 8:00",44.38,14.34,8.15,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",17.73,"P3"
11,"ASU_P4_102413_1","10/24/2013 8:00",44.78,15,5.88,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",6.73,"P4"
12,"ASU_P4_103013_1","10/30/2013 8:15",44.85,NA,8.22,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",12.74,"P4"
13,"ASU_P4_110413_1","11/4/2013 8:00",43.09,14.11,8.18,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",17.73,"P4"
14,"ASU_P5_102413_1","10/24/2013 8:00",45.8,14.21,6.4,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",6.73,"P5"
15,"ASU_P5_103013_1","10/30/2013 8:15",45.72,NA,8.64,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",12.74,"P5"
16,"ASU_P5_110413_1","11/4/2013 8:00",44.22,14.07,8.6,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",17.73,"P5"
17,"ASU_P6_102413_1","10/24/2013 8:00",44.36,13.29,5.79,"OCT172013","ASU","KA32","KA32_10042013_CRE","KA32_10172013_SPW",6.73,"P6"
