ExperimentID,SiteID,StrainID,Date,AirTemp(C),RH(%),GlobalLightEnergy(W.m2),WindSpeed(km.hr),WDir(deg),Precip.tot(cm)
APR032014,ASU,KA32,4/1/2014,18.61,24.55,295.68,6.59,195.16,0
APR032014,ASU,KA32,4/2/2014,15.27,33.42,264.85,9.18,223.3,0
APR032014,ASU,KA32,4/3/2014,15.02,31.17,295.35,3.14,209.32,0
APR032014,ASU,KA32,4/4/2014,17.53,24.84,283.52,3.64,203.7,0
APR032014,ASU,KA32,4/5/2014,18.79,22.66,295.59,4.71,201.22,0
APR032014,ASU,KA32,4/6/2014,18.77,23.51,300.26,4.08,188.9,0
APR032014,ASU,KA32,4/7/2014,21.24,21.19,299.51,4.56,181.48,0
APR032014,ASU,KA32,4/8/2014,23.31,21.03,305.25,3.26,186.51,0
APR032014,ASU,KA32,4/9/2014,24.11,18.06,281.07,3.97,163.04,0
APR032014,ASU,KA32,4/10/2014,25.38,16.86,306.25,4.47,177.76,0
APR032014,ASU,KA32,4/11/2014,26.58,13.43,261.95,5.19,143.76,0
APR032014,ASU,KA32,4/12/2014,24.09,15.79,288.89,7.5,183.36,0
APR032014,ASU,KA32,4/13/2014,22.81,21.94,305.95,7.72,200.69,0
APR032014,ASU,KA32,4/14/2014,23.23,14.47,318.16,8.81,147.4,0
APR032014,ASU,KA32,4/15/2014,22.42,16.67,302.71,2.99,183.81,0
APR032014,ASU,KA32,4/16/2014,23.21,16.12,316.45,4.49,178.14,0
APR032014,ASU,KA32,4/17/2014,25.13,17.62,309.66,4.54,149.55,0
APR032014,ASU,KA32,4/18/2014,22.82,28.22,106.41,5.86,141.06,0.25
APR032014,ASU,KA32,4/19/2014,22.64,37.5,182.83,3.71,154.97,0.1
APR032014,ASU,KA32,4/20/2014,24.52,32.31,309.77,5.17,184.81,0
APR032014,ASU,KA32,4/21/2014,26.54,25.33,314.57,4.24,182.67,0
APR032014,ASU,KA32,4/22/2014,27.37,22.2,302.88,8.16,179.12,0
APR032014,ASU,KA32,4/23/2014,24.09,16.8,323.44,8.1,231.59,0
APR032014,ASU,KA32,4/24/2014,22.96,16.49,324.02,4.42,191.75,0
APR032014,ASU,KA32,4/25/2014,24.7,16.73,293.14,10.46,166.94,0
APR032014,ASU,KA32,4/26/2014,19.25,30.16,199.26,11.77,241.88,0.05
APR032014,ASU,KA32,4/27/2014,18.73,30.26,318.95,5.14,194.64,0
APR032014,ASU,KA32,4/28/2014,22.22,24.62,325.45,6.06,198.51,0
APR032014,ASU,KA32,4/29/2014,23.98,9.9,338.8,16.17,56.58,0
APR032014,ASU,KA32,4/30/2014,24.11,11.16,337.58,14.19,70.7,0
APR032014,ASU,KA32,5/1/2014,20.9,13.9,1,5,219,0
APR032014,CELL,KA32,4/15/2014,25.16,65.42,293.99,5.4,137.74,0
APR032014,CELL,KA32,4/16/2014,24.86,73.41,190.42,3.39,150.23,0
APR032014,CELL,KA32,4/17/2014,25.16,72.25,222.4,3.18,138.67,0
APR032014,CELL,KA32,4/18/2014,25.55,71.81,218.16,5.61,135.78,0
