Date,Hours,Time,Timepoint,Supplementation,Replicate,Starvation,Counts_Tech1,Counts_Tech2,Counts_Tech3,Counts_Tech4,Counts_DF,QY_Tech1,QY_Tech2,QY_Tech3,OD680_Tech1,OD680_Tech2,OD680_Tech3,OD720_Tech1,OD720_Tech2,OD720_Tech3,Nile_Red1,Nile_Red2,Nile_Red3,NR_DF,Bodipy_1,Bodipy_2,Bodipy_3,BD_DF,pH,Counts_Avg,QY_Avg,OD680_Avg,OD720_Avg,NR_Avg,Specific_NR,BD_Avg,Specific_BD,mM_NO3,mM_PO4,mM_SO4
24-Jun,0,10:00,R,Replete,A,N,13,2,7,12,1,0.68,0.66,0.67,0.035,0.0356,0.0347,0.0366,0.0353,0.0357,210,198,132,1,Nan,Nan,Nan,2,8.14,94350,0.67,0.0351,0.035866667,9.5,0.100688924,Nan,Nan,12.37441065,0.572915056,675.4125
24-Jun,12,22:00,R,Replete,A,N,19,27,15,14,1,0.66,0.68,0.67,0.0386,0.0401,0.039,0.0211,0.0223,0.0236,307,290,302,1,Nan,Nan,Nan,2,8.1,208125,0.67,0.039233333,0.022333333,129.1666667,0.620620621,Nan,Nan,17.02583524,0.621112775,607.425
25-Jun,24,10:00,R,Replete,A,N,158,129,10,164,1,0.79,0.79,0.79,0.0998,0.1024,0.107,0.0524,0.0565,0.0526,924,1039,968,1,2267,2062,2120,2,8.19,1279275,0.79,0.103066667,0.053833333,806.5,0.630435207,-974.6666667,-0.761889873,16.79518609,0.663526768,613.2
25-Jun,36,22:00,R,Replete,A,N,19,49,29,39,10,0.77,0.76,0.76,0.2465,0.2251,0.2367,0.1085,0.0829,0.0812,917,956,935,2,2287,2499,2313,2,8.24,3774000,0.763333333,0.2361,0.090866667,1531,0.405670376,-541.3333333,-0.143437555,14.06583777,0.650031407,676.4625
26-Jun,47.25,9:15,S1,Replete,A,N,39,40,46,40,10,0.76,0.76,0.76,0.3999,0.338,0.34,0.1239,0.1291,0.1296,435,406,459,6,1813,904,1816,2,8.29,4578750,0.76,0.3593,0.127533333,1577,0.344417144,-2252,-0.491837292,11.27882717,0.559419695,702.975
26-Jun,48.033,10:02,S2,Starvation,A,N,87,86,87,76,1,0.75,0.74,0.71,0.104,0.104,0.1038,0.05,0.06,0.056,264,121,109,2,2809,2735,2919,2,8.29,932400,0.733333333,0.103933333,0.055333333,-11.66666667,-0.012512513,368,0.394680395,-0.014220579,0.646175589,28.60375
26-Jun,48.2,10:12,S3,Starvation,A,N,80,90,89,75,1,0.75,0.72,0.71,0.0835,0.0859,0.087,0.033,0.035,0.0357,290,284,222,2,2757,2860,2819,2,8.16,926850,0.726666667,0.085466667,0.034566667,189.6666667,0.204635773,350,0.377623132,0.007562952,0.650031407,28.41125
26-Jun,48.5,10:30,S4,Starvation,A,N,71,53,52,85,1,0.74,0.72,0.71,0.106,0.105,0.1043,0.0503,0.0507,0.0509,248,278,240,2,2488,2628,2749,2,8.16,724275,0.723333333,0.1051,0.050633333,169.6666667,0.234257246,-30.66666667,-0.042341192,-0.007813658,0.630752319,28.86625
26-Jun,49,11:00,S5,Starvation,A,N,90,88,115,84,1,0.74,0.7,0.69,0.1096,0.1096,0.109,0.0638,0.057,0.0523,209,204,273,2,2145,2078,2180,2,8.12,1046175,0.71,0.1094,0.0577,116.3333333,0.111198732,-1005.333333,-0.960960961,0.00692226,0.601833688,28.7875
26-Jun,54,16:00,S6,Starvation,A,N,106,93,81,87,1,0.73,0.73,0.73,0.119,0.1149,0.1204,0.0743,0.0695,0.0769,927,856,948,2,2387,2438,2430,2,8.14,1018425,0.73,0.1181,0.073566667,1479.666667,1.452897039,-437.3333333,-0.429421247,-0.009095042,0.540140607,29.0675
