ExperimentID,Protein.AF,FAME.Lipids.AF,Carbohydrates.AF,ExperimentID,StrainID_x,SourceID,BatchID,Duration.days,DateTime,TreatmentID,time.between.harvests.days,Harvest.,Harvest.Vol..L.,AFDW..g.L.,AFDW..g.,Depth.cm,Evaporation.Rate.cm.day,pH_x,Salinity,Temp.C,NO3.mg.L,NO3.PCT.RSD,P.mg.L,P.PCT.RSD,N.P.ratio,Tracking.ID,DW.g.L,DW.RSD,AFDW.g.L,AFDW.RSD,Ash,OD750,OD750.PCT.RSD,NO3.utilized.g,NO3.demand.g.N.g.AFDW,NH4.utilized.g,P.demand.g.P.g.AFDW,SiteID2,PondID,StrainID_y,pH_y,Temp.avg (C),Temp.max (C),Temp.min (C),Cond (mS.cm),DO (mg.L),DO (%sat),Sal (g.L),PAR (umol.m2.s),SiteID,Date,AirTemp(C),RH(%),GlobalLightEnergy(W.m2),WindSpeed(km.hr),WDir(deg),Precip.tot(cm),ExperimentPondID
OCT172013,43.86,10.77,6.26,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,2013-10-24,,,,,,,24.13,0.96,8.34,,12.2,,,,,,2.0,,,,,,0.59,0.12,,,,,ASU,P1,KA32,8.47,17.02,21.9,11.9,52297.48,7.01,89.55,34.46,0.0,ASU,2013-10-24,22.79,24.9,186.99,4.56,198.29,0.0,OCT172013P1
OCT172013,44.32,,8.45,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,12.74,2013-10-30,,,,,,,24.13,0.46,8.71,,9.6,23.6,3.06,1.06,0.66,49.07,3.0,0.34,1.48,0.33,0.59,5.47,1.4,0.55,,0.151,,,ASU,P1,KA32,8.57,13.64,32.2,8.9,50304.11,7.69,91.23,32.96,,ASU,2013-10-30,15.56,40.94,189.88,3.05,177.74,0.0,OCT172013P1
OCT172013,43.07,13.09,8.18,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,2013-11-04,replete-8.5,17.72916667,1.0,922.5,0.45333333299999995,418.2,22.86,0.72,8.56,,10.8,12.97,4.39,0.02,141.42,1174.31,4.0,0.5,2.75,0.45,1.27,10.11,2.05,1.01,0.0,0.008,0.0,0.008,ASU,P1,KA32,8.38,16.2,28.3,9.3,30871.3,7.06,81.92,20.18,,ASU,2013-11-04,18.92,37.88,176.55,6.42,194.43,0.18,OCT172013P1
OCT172013,43.35,11.17,6.44,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,2013-10-24,,,,,,,24.13,0.96,8.63,,12.3,,,,,,5.0,,,,,,0.62,0.12,,,,,ASU,P2,KA32,8.49,,,,47942.37,7.93,94.29,31.21,,ASU,2013-10-24,22.79,24.9,186.99,4.56,198.29,0.0,OCT172013P2
OCT172013,43.4,,7.65,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,12.74,2013-10-30,,,,,,,24.13,0.46,8.74,,9.3,22.4,1.18,0.48,0.44,103.44,6.0,0.35,0.54,0.34,0.57,4.7,1.47,2.14,,0.147,,0.003,ASU,P2,KA32,8.45,,,,39332.44,7.05,79.36,25.24,,ASU,2013-10-30,15.56,40.94,189.88,3.05,177.74,0.0,OCT172013P2
OCT172013,44.66,13.77,7.81,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,2013-11-04,replete-8.5,17.72916667,1.0,922.5,0.48111111100000004,443.825,22.54,0.6,8.48,,11.1,13.73,7.37,0.03,141.42,1194.87,7.0,0.56,1.18,0.48,1.06,14.59,2.23,1.55,0.0,0.006999999999999999,0.0,0.002,ASU,P2,KA32,8.29,,,,30884.32,6.1,69.89,20.12,,ASU,2013-11-04,18.92,37.88,176.55,6.42,194.43,0.18,OCT172013P2
OCT172013,43.27,13.52,5.92,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,2013-10-24,,,,,,,24.13,0.96,8.66,,12.6,,,,,,8.0,,,,,,0.59,0.12,,,,,ASU,P3,KA32,8.5,16.92,21.9,11.7,51376.83,8.8,111.64,33.77,,ASU,2013-10-24,22.79,24.9,186.99,4.56,198.29,0.0,OCT172013P3
OCT172013,45.19,,7.79,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,12.74,2013-10-30,,,,,,,24.13,0.46,8.79,,9.3,22.43,3.6,0.28,0.0,176.78,9.0,0.36,2.32,0.34,0.97,4.89,1.44,0.27,,0.106,,0.011000000000000001,ASU,P3,KA32,8.52,13.14,17.8,8.8,50863.75,9.24,108.33,33.3,,ASU,2013-10-30,15.56,40.94,189.88,3.05,177.74,0.0,OCT172013P3
OCT172013,44.38,14.34,8.15,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,17.73,2013-11-04,replete-8.5,17.72916667,1.0,922.5,0.48111111100000004,443.825,22.86,0.69,8.45,,10.7,13.13,15.83,0.0,,,10.0,0.59,2.66,0.48,0.4,18.57,2.2,2.15,0.0,,0.0,0.002,ASU,P3,KA32,8.37,15.38,27.0,9.1,30298.23,12.26,139.26,19.76,,ASU,2013-11-04,18.92,37.88,176.55,6.42,194.43,0.18,OCT172013P3
OCT172013,44.78,15.0,5.88,OCT172013,KA32,KA32_10042013_CRE,KA32_10172013_SPW,6.73,2013-10-24,,,,,,,24.13,0.96,8.18,,12.8,,,,,,11.0,,,,,,0.62,0.0,,,,,ASU,P4,KA32,7.85,17.17,22.1,11.9,52839.89,8.58,110.5,34.86,,ASU,2013-10-24,22.79,24.9,186.99,4.56,198.29,0.0,OCT172013P4
